TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE,ZIPCODE,CENTERLONGITUDE,CENTERLATITUDE
V02,6703500,臺南市,安南區,Annan District,D,67,709,120.152618883881,23.0486968107293
V02,6703600,臺南市,安平區,Anping District,D,67,708,120.164994873891,22.9900843738317
V02,6601400,臺中市,梧棲區,Wuqi District,B,66,435,120.530125927052,24.2455243140682
V02,6800100,桃園市,桃園區,Taoyuan District,H,68,330,121.29966124268,25.0004002432785
V02,6800200,桃園市,中壢區,Zhongli District,H,68,320,121.214724251394,24.9799380254332
V02,6800300,桃園市,大溪區,Daxi District,H,68,335,121.296341978583,24.8679702583614
V02,6800400,桃園市,楊梅區,Yangmei District,H,68,326,121.129169654279,24.9182098919976
V02,6800500,桃園市,蘆竹區,Luzhu District,H,68,338,121.283126636455,25.0607333655796
V02,6800700,桃園市,龜山區,Guishan District,H,68,333,121.356926520867,25.024174719917
V02,6800800,桃園市,八德區,Bade District,H,68,334,121.291310222779,24.9496890297523
V02,6800900,桃園市,龍潭區,Longtan District,H,68,325,121.21178767773,24.8506495392883
V02,6801000,桃園市,平鎮區,Pingzhen District,H,68,324,121.214005149922,24.9211792310181
V02,6801300,桃園市,復興區,Fuxing District,H,68,336,121.375458786848,24.7294988390616
V02,6800600,桃園市,大園區,Dayuan District,H,68,337,121.211770038215,25.0638470877011
V02,6801100,桃園市,新屋區,Xinwu District,H,68,327,121.06775802466,24.9728035226955
V02,6801200,桃園市,觀音區,Guanyin District,H,68,328,121.115502059509,25.0267161091756
V02,1000505,苗栗縣,頭份市,Toufen City,K,10005,351,120.918943673892,24.6762824332874
V02,0902005,金門縣,烈嶼鄉,Lieyu Township,W,09020,894,118.22789,24.40166
